"server_ip","Validation_Status"
"192.168.113.251","Success"
"192.168.113.14","Success"
"192.168.113.247","Success"
"192.168.113.190","Success"
"192.168.113.66","Success"
"192.168.105.79","Success"
"192.168.113.160","Success"
"192.168.113.7","Success"
"192.168.113.47","Success"
"192.168.113.194","Success"
"192.168.113.11","Success"
"192.168.113.93","Success"
"192.168.113.220","Success"
"192.168.113.233","Success"
"192.168.113.17","Success"
"192.168.113.152","Success"
"192.168.113.248","Success"
"192.168.113.78","Failed"
"192.168.113.249","Success"
"192.168.113.10","Success"
"192.168.113.241","Success"
"192.168.113.9","Success"
"192.168.113.191","Success"
"192.168.113.48","Success"
"192.168.113.137","Success"
"192.168.113.203","Success"
"192.168.113.161","Success"
"192.168.113.42","Success"
"192.168.113.209","Success"
"192.168.113.71","Success"
"192.168.113.254","Failed"
"192.168.113.126","Success"
"192.168.113.43","Success"
"192.168.113.119","Success"
"192.168.113.155","Failed"
"192.168.113.69","Success"
"192.168.113.212","Success"
"192.168.113.195","Success"
"192.168.113.157","Success"
"192.168.113.20","Success"
"192.168.113.153","Success"
"192.168.113.180","Success"
"192.168.113.19","Success"
"192.168.113.175","Success"
"192.168.113.97","Failed"
"192.168.113.105","Success"
"192.168.113.208","Success"
"192.168.113.182","Success"
"192.168.113.198","Success"
"192.168.113.129","Success"
"192.168.113.111","Success"
"192.168.113.133","Success"
"192.168.113.96","Success"
"192.168.113.72","Success"
"192.168.113.144","Success"
"192.168.113.252","Success"
